"","ID","LAT","LONG","START.DATE","END.DATE","CANOPY.COVER","WOODY","HERBACIOUS","GRASS","NAKED.SOIL","ROCKY","DOWN.WOOD","LEAF.LITTER","AreaPerHa","meanT","sdT","maxT","minT","meanHum","sdHum","maxHum","minHum","Distance.to.water","Distance.to.road","Existing.vegetation","Fire.Interval","Altitude","Burn.intensity.soil","Burn.intensity.Canopy","Burn.intensity.basal"
"1","H2NFS8",39.93687,-120.61807,"08-06-2015","11-06-2015",30.576,6,13,0,5,27.5,21,27.5,3.73433200677331,14.0208333333333,5.22062025879347,26,6,74.7291666666667,28.3194088645882,100,28,0,325.264706104239,3,14.791638580633,1859.33737057843,0,0,0
"2","H2NFS5",40.04793,-120.36968,"09-06-2015","12-06-2015",43.888,35,1,55.5,2.5,0,0,6,6.06189347293589,8.05555555555556,3.97811473255823,16,0,100,0,100,100,0,0,15.294587836587,11,1839.81289091705,0.248020290594254,0.12812701372865,0.12812701372865
"3","H5NFS2",39.92159,-120.62604,"08-06-2015","11-06-2015",69.472,37,3.5,0,0.5,0,15.5,43.5,27.1753086474616,14.7291666666667,4.96686717192499,27,7,74,20.4845556768165,100,42,0,0,4.76920011237985,16,1890.5855910514,0,0,0
"4","H5NFS6",39.7752,-120.43809,"10-06-2015","13-06-2015",25.376,90.5,1,0,5.5,0,2.5,0.5,0.748744429784178,15.0833333333333,5.70545877971313,28,7,54.2166666666667,24.2662433221904,100,23,0,0,4.70546417800442,18.2701040668563,1927.23654190712,0,0,0
"5","IB10",40.22754,-120.82094,"12-06-2015","15-06-2015",12.896,24.5,1.5,39.5,10.5,0.5,8,15,1.04634670318625,9.33333333333333,10.0028364771525,26,-3,75.75,31.5105520995272,100,21,0,0,14.2247465971549,NA,1682.55931434994,3.42075635221886,3.8415125223462,5.30799685870966
"6","H2NFS9",40.16164,-121.21246,"15-06-2015","18-06-2015",59.072,19.5,0,0,2,54,9.5,15,0.36619189368406,17.8333333333333,5.95050003816699,29,9,45.8055555555556,9.7844931769236,70,23,0,2308.60102921279,15.7274599634972,15.8184088851239,1515.0094469124,0.0113522716454193,0.0113522284552255,0.0113522284552255
"7","H4FS8",40.06634,-121.22009,"15-06-2015","18-06-2015",40.768,9.5,19,1,12.5,11.5,18.5,28,22.898660444971,16.9583333333333,4.81114987508884,31,10,23.4375,1.30312635529803,28,22,0,649.296156799031,3,11,1333.37798537411,3.75567869979911,4.51135762341242,5.89874521892184
"8","H4NFS1",40.0132,-121.01045,"15-06-2015","18-06-2015",58.032,14,8.5,21,3,0,10,43.5,19.7530779687112,19.2777777777778,3.8828703707591,26,13,64.4861111111111,18.6706013207294,97,45,0,324.90219019251,6.46434754478577,12.1547825149286,1325.53863512143,0,0,0
"9","H4NFS5",39.78447,-121.38789,"17-06-2015","20-06-2015",81.952,11.5,0,0,0.5,0,60,28,89.4326684015184,16.8064516129032,3.46333824405043,32,10,40.6935483870968,12.2522513283223,63,17,0,0,3,11,1285.96450643701,0,0,0
"10","H3FS8",39.7197,-121.2009,"16-06-2015","19-06-2015",79.456,22,0,0.5,3,0,24,50.5,63.6271236901072,18.5322580645161,2.69618882161824,29,15,33.5,5.33700351858391,49,26,0,0,14.3622373032973,14.7874124344324,1234.94926985136,2.33184990251188,2,2.33184992905755
"11","H4NFS10",39.78817,-121.34205,"16-06-2015","19-06-2015",78.624,28.5,2,0,2,0,19.5,48,7.10551289221998,17.0322580645161,2.71587767376742,24,13,38.758064516129,11.7161587783864,61,19,0,424.210491466315,6.82503378185135,11,1209.38449125243,0,0,0
"12","H1NFS11",39.88726,-120.66755,"22-06-2015","25-06-2015",54.912,36.5,5,0,13,9.5,16,20,10.6843002608984,NA,NA,NA,NA,NA,NA,NA,NA,325.500035444158,0,3,16,1866.53715325118,0,0,0
"13","H4NFS9",39.87967,-120.70183,"22-06-2015","25-06-2015",40.768,12.5,2,0.5,20.5,0.5,32.5,31.5,16.3233384369341,NA,NA,NA,NA,NA,NA,NA,NA,0,325.53622058978,4.09285875628866,11.6245837777914,1414.52421239734,0,0,0
"14","H2NFS4",39.6929,-120.59138,"22-06-2015","25-06-2015",59.696,6,11,0,14,0,40,29,101.211543839384,NA,NA,NA,NA,NA,NA,NA,NA,0,0,18.8760000491108,37.9249231675892,2098.38654774481,0,0,0
"15","H1NFS12",40.01299,-120.65998,"23-06-2015","26-06-2015",77.792,7.5,0.5,0,2,0,56,34,47.4064525010924,NA,NA,NA,NA,NA,NA,NA,NA,324.90219019251,0,3.3810491714833,14.1556956169375,1952.38997089344,0,0,0
"16","H5FS4",40.23024,-120.62558,"23-06-2015","26-06-2015",40.144,10.5,18,8,12.5,14,17,20,22.5240490829754,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,15.0587070693708,1923.55251460677,3.35034546263144,4.21309582513474,5.56344133035385
"17","IB15",40.23626,-120.75668,"01-07-2015","04-07-2015",48.672,22,13.5,5.5,14,9.5,16.5,20.5,41.9319445588734,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3.80653269250586,11,1386.44359150018,3.51789958615992,4.27684914624974,5.79474857708289
"18","H4FS11",40.131138,-121.151514,"29-06-2015","02-07-2015",37.232,4.5,24,0,8.5,0,13.5,49.5,63.2367729489171,NA,NA,NA,NA,NA,NA,NA,NA,0,324.339157668069,7.10853593061409,12.3695119768714,1351.18137621642,2.26273675053666,2.46268599995338,2.72542270445338
"19","H3NFS1",40.05494,-121.06383,"29-06-2015","02-07-2015",78,12,0.5,1,5.5,16.5,32,32.5,41.4794216990687,NA,NA,NA,NA,NA,NA,NA,NA,0,775.666131303723,11.1620774847403,13.7206924949134,1377.43468270881,0,0,0
"20","H4NFS4",39.75164,-121.14058,"30-06-2015","03-07-2015",72.592,33,3.5,0,2,3.5,28.5,29.5,67.0850825778951,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,11,1532.29238178204,0,0,0
"21","H1NFS9",39.81863,-121.14384,"30-06-2015","03-07-2015",58.448,38,4.5,0,3,1,26.5,27,50.5457910619532,NA,NA,NA,NA,NA,NA,NA,NA,325.825501638615,0,6.7269641396829,16.5460717206342,1713.31302515673,0,0,0
"22","OB4",40.13065,-120.65966,"01-07-2015","04-07-2015",79.456,10.5,13,8,0.5,14.5,23.5,27.5,2.55175863287831,NA,NA,NA,NA,NA,NA,NA,NA,0,0,7.86808344003864,15.8537698350564,1650.04185677959,0.804172777052081,0.402086401514861,0.402086401514861
"23","H3FS7",39.826443,-121.40697,"30-06-2015","03-07-2015",61.776,21.5,19,1,5.5,0,21,32,37.914083174381,NA,NA,NA,NA,NA,NA,NA,NA,0,0,14.8189160967713,15.294228360139,648.516961992931,2.20794818131042,2.31697748346868,2.6238448653048
"24","IB26",40.23687,-120.6538,"08-07-2015","11-07-2015",1.664,10,14.5,27.5,5,27.5,12,3.5,11.8321332873254,NA,NA,NA,NA,NA,NA,NA,NA,0,0,12.1424195556492,13.1429938888596,1710.01015305667,4,5,7
"25","H1FS3",39.8414,-121.47158,"06-07-2015","09-07-2015",75.296,17.5,0.5,0,2.5,0,38,41.5,60.158271329793,NA,NA,NA,NA,NA,NA,NA,NA,325.717058286323,325.717058286323,4.20439542246568,11,1196.11417731973,1.64887882211953,1,1
"26","H2FS6",39.86057,-120.26261,"07-07-2015","10-07-2015",1.664,14,0.5,5,12,64.5,3.5,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,0,424.210491466315,15.0616315737427,22.2604211150875,1876.82265165243,1.74601076615079,2.07168497168623,3.11583113321532
"27","H5NFS11",39.82287,-120.65253,"07-07-2015","10-07-2015",68.848,20.5,2.5,0.5,8.5,5,31.5,31.5,32.7898942289638,NA,NA,NA,NA,NA,NA,NA,NA,0,325.807453357071,6.68668620855682,11,1564.34787969286,0,0,0
"28","H5FS3",39.81104,-120.79711,"07-07-2015","10-07-2015",24.96,57.5,1,0,13,3.5,21.5,3.5,73.4816950878326,NA,NA,NA,NA,NA,NA,NA,NA,0,651.723246058471,6.33129777985327,17.4793608545179,1826.54242697137,2.91815867169782,2.78859280285636,3.70675140681716
"29","IB27",40.22155,-120.76513,"08-07-2015","11-07-2014",47.424,4,3,1,15.5,38,8.5,25,31.8530006138286,NA,NA,NA,NA,NA,NA,NA,NA,0,0,6.69679807794006,12.23226602598,1417.41118963731,2.33604659417526,2.52494630546945,3.49281239624331
"30","H5FS7",40.03206,-120.36269,"13-07-2015","16-07-2015",23.712,58.5,2,0.5,0.5,14,6,18.5,7.99852631196615,NA,NA,NA,NA,NA,NA,NA,NA,0,324.81145975793,3,16,2019.4656886069,0.404315078531338,0.673858104501623,0.808629725401948
"31","H2FS12",40.02063,-120.38555,"13-07-2015","16-07-2015",6.032,9.5,9.5,34.5,28.5,3.5,11,3,3.97569335709952,NA,NA,NA,NA,NA,NA,NA,NA,324.865920522984,324.865920522984,14.380417384759,23.8215056945334,1887.27741981209,1.94993127871474,1.94993147790405,2.5999086372054
"32","H5FS12",40.13114,-120.43128,"13-07-2015","16-07-2015",6.864,14,7.5,28.5,25,0.5,13.5,11,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,7.96743281162999,28.9443906941608,1867.58962169898,4,5,7
"33","H1FS8",39.93301,-121.3286,"14-07-2015","17-07-2015",2.08,21,1.5,9,25,37.5,6,0,2.63297665695524,NA,NA,NA,NA,NA,NA,NA,NA,0,975.84847468038,12,11,1029.74872515567,4,5,6.4346553094722
"34","H5NFS10",39.85697,-121.06018,"14-07-2015","17-07-2015",79.872,35.5,0,0,6,0,30.5,28,17.5065093541659,NA,NA,NA,NA,NA,NA,NA,NA,0,0,7,16,1632.55326334693,0,0,0
"35","H3NFS9",39.9749,-121.02957,"15-07-2015","18-07-2015",81.536,18,0,0,6.5,6,7.5,62,22.8885209546816,NA,NA,NA,NA,NA,NA,NA,NA,0,0,18,16,1248.59874867026,0,0,0
"36","H3NFS4",39.98629,-121.01048,"15-07-2015","18-07-2015",89.648,10,0.5,0,7.5,0,28.5,53.5,49.3962823100047,NA,NA,NA,NA,NA,NA,NA,NA,0,0,18,16,1314.89355881591,0,0,0
"37","H3FS1",40.01896,-121.25504,"20-07-2015","23-07-2015",9.984,46.5,1.5,14.5,8,16,10.5,2.5,12.8063882930934,NA,NA,NA,NA,NA,NA,NA,NA,0,1299.4636146863,12,14.1753262157624,989.327678849797,3.20470082861484,4.01240402745032,6.11746774876222
"38","H3FS12",39.90181,-121.35343,"20-07-2015","23-07-2015",48.256,9,1,7,15.5,64,1.5,2,0.291453404455159,NA,NA,NA,NA,NA,NA,NA,NA,0,0,11.7931120047732,14.7500481502297,704.184747088221,0.529189118340158,0.65893650287595,0.851052157366894
"39","H1FS5",40.21116,-120.81617,"21-07-2015","24-07-2015",19.76,35,4.5,8,4.5,35.5,12.5,0,20.0478457534159,NA,NA,NA,NA,NA,NA,NA,NA,323.956924985174,424.210480819579,3.48942542784944,11.1631418092831,1645.88226153683,3,2.24983259839589,3.72198969895734
"40","H1FS4",40.16163,-120.75518,"21-07-2015","24-07-2015",37.232,4,5.5,3,15.5,0.5,19.5,52,77.8539831015213,NA,NA,NA,NA,NA,NA,NA,NA,324.193593712976,324.193593712976,4.86060972500101,16,2073.5406196737,1.99919352616913,1.08549333860313,1.09403186381956
"41","H3NFS3",39.70433,-120.53036,"22-07-2015","25-07-2015",53.456,13.5,9,3.5,9,8.5,17,39.5,15.1981848820326,NA,NA,NA,NA,NA,NA,NA,NA,0,0,18,16,1450.20717981452,0,0,0
"42","H5FS10",40.2607,-120.73995,"21-07-2015","24-07-2015",0,10.5,12,40.5,22,3,12,0,1.91204397480945,NA,NA,NA,NA,NA,NA,NA,NA,0,323.720013472432,3,11,1615.1332890071,4,5,7
"43","H2FS5",40.17303,-120.62178,"26-07-2015","29-07-2015",2.912,38,2.5,5.5,19.5,21,6,4.5,17.4195265075696,NA,NA,NA,NA,NA,NA,NA,NA,0,0,17.7566179999979,15.3915449999948,1601.45593663858,3.98384245782386,1.91606613046807,2.16527958543366
"44","H2FS2",40.19218,-120.57217,"26-07-2015","29-07-2015",5.408,12,3,1.5,40.5,31.5,3,8.5,7.33812426627341,NA,NA,NA,NA,NA,NA,NA,NA,0,424.210491466315,13.5366085598515,11.947458246211,1639.9721903609,3.86415146148717,4.72830285871178,6.59245428806767
"45","H4FS9",40.15781,-121.09054,"27-07-2015","30-07-2015",39.52,4.5,2.5,1.5,13.5,1.5,40,36.5,20.7894186992958,NA,NA,NA,NA,NA,NA,NA,NA,0,0,6.68410856755158,15.4209302810619,1449.78677480657,2.8093821124866,2.98778993973632,3.92951384023946
"46","H4FS1",40.11581,-121.0792,"27-07-2015","30-07-2015",79.04,3.5,0,0,3.5,0,51,42,34.2891643450181,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5.43299855705047,11.8109995190168,1242.82186959427,1.16987620939999,1.21750341550657,1.31275756591962
"47","H3NFS10",40.00171,-120.95788,"28-07-2015","31-07-2015",55.952,11.5,6,2.5,7.5,10,8,44.5,35.3914471054015,NA,NA,NA,NA,NA,NA,NA,NA,0,0,14.6951625312358,14.4916818631683,1025.55426642259,0,0,0
"48","H2NFS6",39.81866,-120.54942,"28-07-2015","31-07-2015",52,6,7.5,1.5,5,0.5,12,67.5,12.0891077124074,NA,NA,NA,NA,NA,NA,NA,NA,0,424.210491466315,13.6978624343654,11.8854375252441,1657.3709579192,0,0,0
"49","H1NFS5",39.94068,-120.76662,"28-07-2015","31-07-2015",55.536,43.5,0.5,0,11,12.5,18.5,14,6.03324804964162,NA,NA,NA,NA,NA,NA,NA,NA,325.246598931045,0,4.91245340614539,13.3905667576817,1725.16021228725,0,0,0
